I,S
7.69E+02,2.31E+05
6.78E+02,2.32E+05
6.05E+02,2.32E+05
5.50E+02,2.33E+05
5.11E+02,2.33E+05
4.86E+02,2.34E+05
4.73E+02,2.35E+05
4.71E+02,2.35E+05
4.82E+02,2.36E+05
5.07E+02,2.37E+05
5.49E+02,2.37E+05
6.13E+02,2.38E+05
7.08E+02,2.38E+05
8.45E+02,2.38E+05
1.04E+03,2.38E+05
1.30E+03,2.38E+05
1.65E+03,2.38E+05
2.08E+03,2.37E+05
2.57E+03,2.35E+05
3.10E+03,2.33E+05
3.58E+03,2.31E+05
3.95E+03,2.28E+05
4.14E+03,2.25E+05
4.13E+03,2.22E+05
3.92E+03,2.19E+05
3.57E+03,2.16E+05
3.14E+03,2.14E+05
2.70E+03,2.13E+05
2.28E+03,2.12E+05
1.92E+03,2.11E+05
1.63E+03,2.10E+05
1.40E+03,2.10E+05
1.22E+03,2.10E+05
1.10E+03,2.10E+05
1.02E+03,2.10E+05
9.69E+02,2.10E+05
9.47E+02,2.10E+05
9.49E+02,2.10E+05
9.71E+02,2.10E+05
1.01E+03,2.10E+05
1.06E+03,2.11E+05
1.12E+03,2.10E+05
1.19E+03,2.10E+05
1.24E+03,2.10E+05
1.27E+03,2.10E+05
1.28E+03,2.10E+05
1.26E+03,2.10E+05
1.20E+03,2.10E+05
1.11E+03,2.10E+05
1.01E+03,2.10E+05
8.96E+02,2.10E+05
7.88E+02,2.10E+05
6.92E+02,2.11E+05
6.10E+02,2.11E+05
5.46E+02,2.12E+05
4.97E+02,2.12E+05
4.62E+02,2.13E+05
4.39E+02,2.14E+05
4.28E+02,2.14E+05
4.27E+02,2.15E+05
4.37E+02,2.16E+05
4.60E+02,2.16E+05
4.97E+02,2.17E+05
5.56E+02,2.17E+05
6.41E+02,2.18E+05
7.65E+02,2.18E+05
9.39E+02,2.18E+05
1.18E+03,2.18E+05
1.49E+03,2.18E+05
1.88E+03,2.17E+05
2.33E+03,2.16E+05
2.81E+03,2.14E+05
3.25E+03,2.12E+05
3.58E+03,2.10E+05
3.76E+03,2.07E+05
3.75E+03,2.04E+05
3.56E+03,2.02E+05
3.25E+03,2.00E+05
2.86E+03,1.98E+05
2.46E+03,1.96E+05
